ensgene,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,symbol,description
ENSG00000288681,8.54325647238932,7.771151699933577,9.315361244845064,-4.4652870287242346,21.86790940205277,6.275207888636825e-48,1.4562247426370615e-43,79.93074676473381,,novel protein
ENSG00000235288,10.753883994623706,9.702878992559793,11.80488899668762,-3.9469979525861443,20.22183781444479,3.451915858338171e-44,4.00525797042978e-40,76.43602782121026,,"novel transcript, antisense to CCBP2"
ENSG00000285283,6.406869828001604,5.604819765828089,7.208919890175118,-4.487426636432633,15.787177140748074,2.1655657826071843e-33,1.6751373183727439e-29,53.689520714297885,,novel protein
ENSG00000257529,8.195099245949459,7.118895666378105,9.271302825520813,-3.6514075114071294,15.049422809675187,1.6738591922442804e-31,9.710894103805193e-28,53.59402538027104,RPL36A-HNRNPH2,RPL36A-HNRNPH2 readthrough
ENSG00000211459,4.420377191461152,3.718163796084303,5.122590586838001,6.875750827971288,12.440856425990381,1.1000809522021146e-24,4.254746429467045e-21,45.51254222766996,MT-RNR1,mitochondrially encoded 12S rRNA
ENSG00000170043,1.2840374145972144,1.0737275721105273,1.4943472570839016,3.629541780356932,12.066411694401934,1.0728189156788628e-23,2.766203973027077e-20,43.17609879447013,TRAPPC1,trafficking protein particle complex subunit 1
ENSG00000105402,1.1930170133505777,0.995907350085036,1.3901266766161195,6.3139230022625465,11.961861775530645,2.0267366594437396e-23,4.703245091905142e-20,42.64115570508272,NAPA,NSF attachment protein alpha
ENSG00000290226,6.109436248654507,5.1743149179922305,7.044557579316784,-4.1014793933425295,12.911991524062937,6.291334647802901e-26,2.9199342367382827e-22,41.562385482241766,,novel transcript
ENSG00000268083,7.470840744723622,6.274191934031397,8.667489555415846,-3.6085351528662355,12.338513020816672,2.0496556479070352e-24,6.794901280761524e-21,41.53610694870667,,novel protein
ENSG00000257411,8.408764575237115,7.0428633600572015,9.774665790417027,-3.4480133806165223,12.166704511824205,5.828141109380039e-24,1.6905980323034147e-20,39.56697387496378,,novel protein
ENSG00000108107,1.490136238767266,1.2305824742080926,1.7496900033264395,7.41070147008837,11.346416013075553,8.561231722756523e-22,1.806108575984435e-18,38.936544905956836,RPL28,ribosomal protein L28
ENSG00000057608,1.2126352948911912,0.9988034890550074,1.426467100727375,8.154120864292329,11.207737729881151,1.9881118845488783e-21,3.844677032736772e-18,38.09696708686821,GDI2,GDP dissociation inhibitor 2
ENSG00000197157,1.0958026205894678,0.8992336639740683,1.2923715772048672,6.830478994453951,11.017357977753349,6.31398961098889e-21,1.1270957147123707e-17,36.97267007808863,SND1,staphylococcal nuclease and tudor domain containing 1
ENSG00000116478,1.1081607228651178,0.9051440548006008,1.3111773909296347,5.6864409333704815,10.787756025063814,2.5389869342125648e-20,4.208552199666913e-17,35.61195052534425,HDAC1,histone deacetylase 1
ENSG00000143436,1.1303213536474548,0.9222341384821124,1.3384085688127971,4.436127004884693,10.735359506863729,3.4866925295633405e-20,5.394145789403125e-17,35.299050137115316,MRPL9,mitochondrial ribosomal protein L9
